filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00304.jpg,RBC,73,181,30,134
BloodImage_00304.jpg,RBC,41,147,133,254
BloodImage_00304.jpg,RBC,260,366,321,442
BloodImage_00304.jpg,RBC,107,209,360,449
BloodImage_00304.jpg,RBC,146,248,372,461
BloodImage_00304.jpg,RBC,1,79,267,371
BloodImage_00304.jpg,RBC,366,458,254,350
BloodImage_00304.jpg,RBC,406,513,139,235
BloodImage_00304.jpg,RBC,431,538,1,96
BloodImage_00304.jpg,RBC,279,386,26,122
BloodImage_00304.jpg,RBC,488,600,53,162
BloodImage_00304.jpg,WBC,170,393,122,327
