filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00339.jpg,RBC,378,489,278,374
BloodImage_00339.jpg,RBC,448,580,67,177
BloodImage_00339.jpg,RBC,308,409,23,145
BloodImage_00339.jpg,RBC,10,117,220,337
BloodImage_00339.jpg,RBC,65,181,190,319
BloodImage_00339.jpg,RBC,171,279,66,185
BloodImage_00339.jpg,RBC,136,259,329,442
BloodImage_00339.jpg,RBC,229,350,322,414
BloodImage_00339.jpg,RBC,25,160,368,477
BloodImage_00339.jpg,RBC,370,489,382,477
BloodImage_00339.jpg,RBC,525,638,8,93
BloodImage_00339.jpg,RBC,20,141,28,147
BloodImage_00339.jpg,RBC,510,608,259,359
BloodImage_00339.jpg,RBC,566,640,152,265
BloodImage_00339.jpg,RBC,424,581,163,278
BloodImage_00339.jpg,WBC,185,447,127,338
BloodImage_00339.jpg,Platelets,320,360,398,443
BloodImage_00339.jpg,Platelets,127,183,79,128
