filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00016.jpg,WBC,151,329,118,279
BloodImage_00016.jpg,RBC,121,242,323,440
BloodImage_00016.jpg,RBC,324,418,115,236
BloodImage_00016.jpg,RBC,450,542,329,442
BloodImage_00016.jpg,RBC,427,519,364,477
BloodImage_00016.jpg,RBC,230,346,333,449
BloodImage_00016.jpg,RBC,448,549,91,168
BloodImage_00016.jpg,RBC,570,640,290,403
BloodImage_00016.jpg,RBC,523,637,69,174
BloodImage_00016.jpg,RBC,334,451,219,337
BloodImage_00016.jpg,RBC,449,566,227,345
BloodImage_00016.jpg,RBC,66,160,155,276
BloodImage_00016.jpg,Platelets,97,129,327,365
