filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00097.jpg,RBC,451,544,271,365
BloodImage_00097.jpg,RBC,453,546,340,434
BloodImage_00097.jpg,RBC,205,302,369,480
BloodImage_00097.jpg,RBC,270,367,319,430
BloodImage_00097.jpg,RBC,164,245,173,279
BloodImage_00097.jpg,RBC,206,309,52,179
BloodImage_00097.jpg,RBC,61,160,131,236
BloodImage_00097.jpg,RBC,555,640,172,274
BloodImage_00097.jpg,RBC,37,144,303,403
BloodImage_00097.jpg,RBC,502,610,57,157
BloodImage_00097.jpg,RBC,381,489,2,102
BloodImage_00097.jpg,RBC,103,193,25,113
BloodImage_00097.jpg,RBC,1,89,32,120
BloodImage_00097.jpg,RBC,247,352,248,336
BloodImage_00097.jpg,RBC,1,80,138,238
BloodImage_00097.jpg,RBC,106,182,228,319
BloodImage_00097.jpg,WBC,268,554,91,286
