filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00353.jpg,RBC,52,161,332,452
BloodImage_00353.jpg,RBC,176,319,315,416
BloodImage_00353.jpg,RBC,34,152,48,156
BloodImage_00353.jpg,RBC,320,438,42,150
BloodImage_00353.jpg,RBC,204,323,83,203
BloodImage_00353.jpg,RBC,536,635,196,295
BloodImage_00353.jpg,RBC,83,186,174,278
BloodImage_00353.jpg,RBC,121,205,144,229
BloodImage_00353.jpg,RBC,189,303,211,301
BloodImage_00353.jpg,RBC,147,236,14,106
BloodImage_00353.jpg,RBC,501,615,73,170
BloodImage_00353.jpg,RBC,1,80,141,259
BloodImage_00353.jpg,RBC,485,546,176,240
BloodImage_00353.jpg,WBC,262,518,191,436
