filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00400.jpg,RBC,462,597,368,462
BloodImage_00400.jpg,RBC,376,510,104,208
BloodImage_00400.jpg,RBC,219,347,224,315
BloodImage_00400.jpg,RBC,124,222,286,390
BloodImage_00400.jpg,RBC,69,174,393,479
BloodImage_00400.jpg,RBC,219,327,325,425
BloodImage_00400.jpg,RBC,293,416,291,409
BloodImage_00400.jpg,RBC,362,470,203,303
BloodImage_00400.jpg,RBC,35,131,1,115
BloodImage_00400.jpg,RBC,461,561,195,296
BloodImage_00400.jpg,RBC,374,482,1,100
BloodImage_00400.jpg,RBC,1,76,110,242
BloodImage_00400.jpg,WBC,117,355,18,235
