filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00409.jpg,RBC,518,611,168,268
BloodImage_00409.jpg,RBC,426,551,87,198
BloodImage_00409.jpg,RBC,502,611,298,411
BloodImage_00409.jpg,RBC,250,371,245,357
BloodImage_00409.jpg,RBC,58,170,104,215
BloodImage_00409.jpg,RBC,378,504,258,368
BloodImage_00409.jpg,RBC,228,320,126,217
BloodImage_00409.jpg,RBC,169,261,79,170
BloodImage_00409.jpg,RBC,2,93,1,83
BloodImage_00409.jpg,RBC,16,121,229,313
BloodImage_00409.jpg,RBC,7,115,263,367
BloodImage_00409.jpg,RBC,349,456,127,286
BloodImage_00409.jpg,RBC,438,563,1,77
BloodImage_00409.jpg,RBC,227,310,71,150
BloodImage_00409.jpg,Platelets,413,456,396,433
BloodImage_00409.jpg,Platelets,334,377,210,248
BloodImage_00409.jpg,Platelets,180,213,169,217
BloodImage_00409.jpg,Platelets,78,122,15,51
BloodImage_00409.jpg,WBC,78,306,293,480
