filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00277.jpg,RBC,74,179,301,404
BloodImage_00277.jpg,RBC,204,283,332,402
BloodImage_00277.jpg,RBC,1,69,259,369
BloodImage_00277.jpg,RBC,215,308,134,215
BloodImage_00277.jpg,RBC,364,472,1,83
BloodImage_00277.jpg,RBC,108,210,77,184
BloodImage_00277.jpg,RBC,472,610,1,95
BloodImage_00277.jpg,RBC,506,606,359,462
BloodImage_00277.jpg,RBC,558,640,216,340
BloodImage_00277.jpg,RBC,225,313,404,480
BloodImage_00277.jpg,RBC,532,640,108,213
BloodImage_00277.jpg,RBC,137,262,1,98
BloodImage_00277.jpg,RBC,361,486,348,446
BloodImage_00277.jpg,Platelets,66,110,424,468
BloodImage_00277.jpg,WBC,337,492,185,372
BloodImage_00277.jpg,Platelets,51,100,176,211
