filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00319.jpg,RBC,416,512,371,478
BloodImage_00319.jpg,RBC,460,566,90,195
BloodImage_00319.jpg,RBC,414,532,245,340
BloodImage_00319.jpg,RBC,188,278,274,374
BloodImage_00319.jpg,RBC,117,216,344,440
BloodImage_00319.jpg,RBC,148,250,392,470
BloodImage_00319.jpg,RBC,309,418,65,168
BloodImage_00319.jpg,RBC,403,493,265,359
BloodImage_00319.jpg,RBC,565,638,117,224
BloodImage_00319.jpg,RBC,555,640,39,132
BloodImage_00319.jpg,WBC,72,327,1,209
BloodImage_00319.jpg,Platelets,591,632,391,429
BloodImage_00319.jpg,Platelets,36,74,233,262
