filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00385.jpg,RBC,421,538,185,289
BloodImage_00385.jpg,RBC,149,266,207,311
BloodImage_00385.jpg,RBC,86,169,143,231
BloodImage_00385.jpg,RBC,98,209,17,137
BloodImage_00385.jpg,RBC,1,107,1,109
BloodImage_00385.jpg,RBC,10,125,250,362
BloodImage_00385.jpg,RBC,1,115,367,480
BloodImage_00385.jpg,RBC,129,227,324,423
BloodImage_00385.jpg,RBC,290,407,211,315
BloodImage_00385.jpg,RBC,485,602,1,104
BloodImage_00385.jpg,RBC,368,482,1,79
BloodImage_00385.jpg,RBC,436,538,332,436
BloodImage_00385.jpg,RBC,567,640,299,404
BloodImage_00385.jpg,RBC,265,390,102,220
BloodImage_00385.jpg,WBC,218,443,303,480
BloodImage_00385.jpg,Platelets,186,245,85,141
BloodImage_00385.jpg,Platelets,206,258,1,54
BloodImage_00385.jpg,Platelets,1,27,342,380
