filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00038.jpg,WBC,415,533,304,427
BloodImage_00038.jpg,RBC,155,255,389,455
BloodImage_00038.jpg,RBC,96,194,399,476
BloodImage_00038.jpg,RBC,11,91,261,360
BloodImage_00038.jpg,RBC,19,99,312,411
BloodImage_00038.jpg,RBC,14,94,77,176
BloodImage_00038.jpg,RBC,22,122,142,243
BloodImage_00038.jpg,RBC,61,140,194,295
BloodImage_00038.jpg,RBC,93,172,224,325
BloodImage_00038.jpg,RBC,117,196,233,334
BloodImage_00038.jpg,RBC,171,265,236,340
BloodImage_00038.jpg,RBC,265,359,186,290
BloodImage_00038.jpg,RBC,186,294,112,236
BloodImage_00038.jpg,Platelets,140,174,117,156
BloodImage_00038.jpg,Platelets,373,407,62,101
BloodImage_00038.jpg,RBC,281,373,94,176
BloodImage_00038.jpg,RBC,515,607,41,123
BloodImage_00038.jpg,RBC,472,565,15,138
BloodImage_00038.jpg,RBC,544,638,128,251
BloodImage_00038.jpg,RBC,562,640,206,299
BloodImage_00038.jpg,RBC,475,568,229,323
BloodImage_00038.jpg,RBC,439,532,191,285
BloodImage_00038.jpg,RBC,392,485,178,272
BloodImage_00038.jpg,RBC,547,640,332,426
BloodImage_00038.jpg,RBC,547,640,386,480
BloodImage_00038.jpg,RBC,488,581,386,480
BloodImage_00038.jpg,RBC,137,230,15,109
BloodImage_00038.jpg,RBC,385,478,30,124
