filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00244.jpg,RBC,329,413,386,480
BloodImage_00244.jpg,RBC,125,223,355,451
BloodImage_00244.jpg,RBC,1,98,331,427
BloodImage_00244.jpg,RBC,78,176,266,362
BloodImage_00244.jpg,RBC,24,124,1,82
BloodImage_00244.jpg,RBC,157,272,1,104
BloodImage_00244.jpg,RBC,283,379,1,109
BloodImage_00244.jpg,RBC,523,625,1,62
BloodImage_00244.jpg,RBC,524,629,100,204
BloodImage_00244.jpg,RBC,535,640,364,468
BloodImage_00244.jpg,RBC,349,472,273,384
BloodImage_00244.jpg,RBC,295,418,185,296
BloodImage_00244.jpg,RBC,32,140,157,248
BloodImage_00244.jpg,RBC,192,313,239,349
BloodImage_00244.jpg,WBC,326,538,36,230
