filename,cell_type,xmin,xmax,ymin,ymax
BloodImage_00035.jpg,WBC,183,334,285,425
BloodImage_00035.jpg,RBC,160,266,155,279
BloodImage_00035.jpg,RBC,1,105,29,153
BloodImage_00035.jpg,RBC,89,196,103,215
BloodImage_00035.jpg,RBC,41,147,168,280
BloodImage_00035.jpg,RBC,82,189,234,346
BloodImage_00035.jpg,RBC,32,138,260,372
BloodImage_00035.jpg,RBC,1,102,345,444
BloodImage_00035.jpg,RBC,292,395,401,480
BloodImage_00035.jpg,RBC,381,487,319,419
BloodImage_00035.jpg,RBC,456,534,312,419
BloodImage_00035.jpg,RBC,478,594,277,406
BloodImage_00035.jpg,RBC,567,640,243,353
BloodImage_00035.jpg,RBC,559,640,389,480
BloodImage_00035.jpg,RBC,504,607,97,185
BloodImage_00035.jpg,RBC,374,533,83,207
BloodImage_00035.jpg,RBC,305,408,1,88
BloodImage_00035.jpg,RBC,243,346,146,234
BloodImage_00035.jpg,RBC,316,419,236,324
BloodImage_00035.jpg,Platelets,146,182,337,382
BloodImage_00035.jpg,Platelets,108,144,352,397
BloodImage_00035.jpg,Platelets,171,207,413,458
BloodImage_00035.jpg,RBC,83,201,1,77
